id,session_id,scenario_type,scenario_order,risk_score,warning_level,outcome,started_at,completed_at
02c20a8d-4ee6-47b2-b32d-8ce5e0370093,6a3505c9-bd85-4157-8d48-cfc20cb4c3b9,NEW_DEVICE,1,0.12,NONE,COMPLETED_SAFE,2025-03-03T13:04:00,2025-03-03T13:04:59.125692
74bddfcf-3f6a-4f24-ba0e-f875071b3a77,6a3505c9-bd85-4157-8d48-cfc20cb4c3b9,FILE_SHARE,2,0.058,NONE,ABANDONED,2025-03-03T13:08:00,2025-03-03T13:09:17.515441
95bd2b3a-0eba-47cd-88c1-c40a04b32cab,6a3505c9-bd85-4157-8d48-cfc20cb4c3b9,WIFI_ACCESS,3,0.043,NONE,UNSAFE_ACTION,2025-03-03T13:12:00,2025-03-03T13:12:35.279327
f89282ee-c294-462a-9883-7b7569447298,6a3505c9-bd85-4157-8d48-cfc20cb4c3b9,UNUSUAL_DOWNLOAD,4,0.163,NONE,ABANDONED,2025-03-03T13:16:00,2025-03-03T13:16:46.449852
545f3ac6-fabc-4714-b554-fa83499bbb52,01340b59-0c2d-4067-8210-7e2985511c22,PHISHING,0,0.014,NONE,COMPLETED_SAFE,2025-03-03T14:00:00,2025-03-03T14:01:04.279828
bed699c9-179f-488a-9fba-3ac547c93acd,01340b59-0c2d-4067-8210-7e2985511c22,NEW_DEVICE,1,0.055,NONE,COMPLETED_SAFE,2025-03-03T14:04:00,2025-03-03T14:04:47.506577
5cd6bfc9-b264-4172-9156-781264e1eb8c,01340b59-0c2d-4067-8210-7e2985511c22,FILE_SHARE,2,0.176,NONE,UNSAFE_ACTION,2025-03-03T14:08:00,2025-03-03T14:09:02.818499
98135d01-f72a-4757-927a-0a7609c6d655,01340b59-0c2d-4067-8210-7e2985511c22,WIFI_ACCESS,3,0.177,NONE,UNSAFE_ACTION,2025-03-03T14:12:00,2025-03-03T14:12:30.013986
5825bc66-97f4-4177-b79e-cb89d575c930,01340b59-0c2d-4067-8210-7e2985511c22,UNUSUAL_DOWNLOAD,4,0.014,NONE,COMPLETED_SAFE,2025-03-03T14:16:00,2025-03-03T14:16:36.660972
9e6ca121-3ff1-4be9-8851-f897620b7db1,25edbbac-9c27-442b-bba2-1d7c3e336347,PHISHING,0,0.095,NONE,UNSAFE_ACTION,2025-03-04T15:00:00,2025-03-04T15:00:59.492137
e72ddcda-9423-4670-bb54-5c0ca2047537,25edbbac-9c27-442b-bba2-1d7c3e336347,NEW_DEVICE,1,0.048,NONE,COMPLETED_SAFE,2025-03-04T15:04:00,2025-03-04T15:05:01.577042
b5ae4f44-19a5-43f0-b19c-6b3139328aa4,25edbbac-9c27-442b-bba2-1d7c3e336347,FILE_SHARE,2,0.109,NONE,ABANDONED,2025-03-04T15:08:00,2025-03-04T15:09:21.886873
7dbbc944-5e81-46fb-8364-944b7830b3ed,25edbbac-9c27-442b-bba2-1d7c3e336347,WIFI_ACCESS,3,0.144,NONE,UNSAFE_ACTION,2025-03-04T15:12:00,2025-03-04T15:13:00.119683
713a9140-fc3c-4ef6-83fc-7de3bf5400a5,25edbbac-9c27-442b-bba2-1d7c3e336347,UNUSUAL_DOWNLOAD,4,0.034,NONE,UNSAFE_ACTION,2025-03-04T15:16:00,2025-03-04T15:16:41.130260
df17ae39-627f-4671-ac4b-0507c4f24ca5,a1b55201-1b11-4408-bd15-d58150237c6b,PHISHING,0,0.18,NONE,UNSAFE_ACTION,2025-03-04T16:00:00,2025-03-04T16:00:41.077064
34f3d202-e75c-4d36-b59b-3df5b4d46607,a1b55201-1b11-4408-bd15-d58150237c6b,NEW_DEVICE,1,0.06,NONE,UNSAFE_ACTION,2025-03-04T16:04:00,2025-03-04T16:05:12.997260
e0653ae4-71af-4c6b-922c-4605563d10c8,a1b55201-1b11-4408-bd15-d58150237c6b,FILE_SHARE,2,0.125,NONE,UNSAFE_ACTION,2025-03-04T16:08:00,2025-03-04T16:08:50.091594
c77c847f-4439-4e13-b392-d675cfe22571,a1b55201-1b11-4408-bd15-d58150237c6b,WIFI_ACCESS,3,0.069,NONE,UNSAFE_ACTION,2025-03-04T16:12:00,2025-03-04T16:12:33.552436
5f572bb8-e096-4f59-a3db-0b1aeca73ad5,a1b55201-1b11-4408-bd15-d58150237c6b,UNUSUAL_DOWNLOAD,4,0.176,NONE,UNSAFE_ACTION,2025-03-04T16:16:00,2025-03-04T16:17:16.761914
ef1e9c26-200d-45f9-a8c6-420eac578fd4,77741433-9a5a-41e1-8989-1d4dd6523093,PHISHING,0,0.018,NONE,ABANDONED,2025-03-05T17:00:00,2025-03-05T17:01:12.102911
92192975-ace7-4d93-b03c-f8643f02e917,77741433-9a5a-41e1-8989-1d4dd6523093,NEW_DEVICE,1,0.095,NONE,UNSAFE_ACTION,2025-03-05T17:04:00,2025-03-05T17:05:17.881521
a846d535-6840-4f89-ba3e-afb7a4c8ca75,77741433-9a5a-41e1-8989-1d4dd6523093,FILE_SHARE,2,0.159,NONE,ABANDONED,2025-03-05T17:08:00,2025-03-05T17:08:55.897354
f930244b-7fd1-443b-8818-a2d40e8f2574,77741433-9a5a-41e1-8989-1d4dd6523093,WIFI_ACCESS,3,0.097,NONE,UNSAFE_ACTION,2025-03-05T17:12:00,2025-03-05T17:13:22.148559
1ee6855e-f820-4f70-9b6c-b5cda34dad2f,77741433-9a5a-41e1-8989-1d4dd6523093,UNUSUAL_DOWNLOAD,4,0.15,NONE,UNSAFE_ACTION,2025-03-05T17:16:00,2025-03-05T17:17:14.627517
c469cf8f-b8c9-4572-9765-b9f0c301ef71,bb0d2b72-5f0e-4057-8824-902774bd7c9a,PHISHING,0,0.066,NONE,UNSAFE_ACTION,2025-03-05T18:00:00,2025-03-05T18:01:12.994925
e6a5664a-c902-4d0c-bec8-94df2310536e,bb0d2b72-5f0e-4057-8824-902774bd7c9a,NEW_DEVICE,1,0.061,NONE,COMPLETED_SAFE,2025-03-05T18:04:00,2025-03-05T18:04:47.405957
e9898495-b3d2-4ad5-83fb-459c687cb66c,bb0d2b72-5f0e-4057-8824-902774bd7c9a,FILE_SHARE,2,0.008,NONE,UNSAFE_ACTION,2025-03-05T18:08:00,2025-03-05T18:09:25.949504
f9ed9f02-6c49-4580-8251-31ecc3a7430c,bb0d2b72-5f0e-4057-8824-902774bd7c9a,WIFI_ACCESS,3,0.073,NONE,UNSAFE_ACTION,2025-03-05T18:12:00,2025-03-05T18:13:16.766448
58a637f7-a733-4519-8681-8712b352bdb2,bb0d2b72-5f0e-4057-8824-902774bd7c9a,UNUSUAL_DOWNLOAD,4,0.095,NONE,UNSAFE_ACTION,2025-03-05T18:16:00,2025-03-05T18:16:55.145093
